    x     |  S4(x)  | S1(x XOR 001100) | # of different bits | property holds 
  000000  |  0111   |       1001       |          3          |        Y     
  000001  |  1101   |       0000       |          3          |        Y     
  000010  |  1101   |       1010       |          3          |        Y     
  000011  |  1000   |       0011       |          3          |        Y     
  000100  |  1110   |       0000       |          3          |        Y     
  000101  |  1011   |       0110       |          3          |        Y     
  000110  |  0011   |       0110       |          2          |        Y     
  000111  |  0101   |       1111       |          2          |        Y     
  001000  |  0000   |       1110       |          3          |        Y     
  001001  |  0110   |       1011       |          3          |        Y     
  001010  |  0110   |       0011       |          2          |        Y     
  001011  |  1111   |       0101       |          2          |        Y     
  001100  |  1001   |       0111       |          3          |        Y     
  001101  |  0000   |       1101       |          3          |        Y     
  001110  |  1010   |       1101       |          3          |        Y     
  001111  |  0011   |       1000       |          3          |        Y     
  010000  |  0001   |       0100       |          2          |        Y     
  010001  |  0100   |       1110       |          2          |        Y     
  010010  |  0010   |       1111       |          3          |        Y     
  010011  |  0111   |       1001       |          3          |        Y     
  010100  |  1000   |       1011       |          2          |        Y     
  010101  |  0010   |       0001       |          2          |        Y     
  010110  |  0101   |       1100       |          2          |        Y     
  010111  |  1100   |       1010       |          2          |        Y     
  011000  |  1011   |       1000       |          2          |        Y     
  011001  |  0001   |       0010       |          2          |        Y     
  011010  |  1100   |       0101       |          2          |        Y     
  011011  |  1010   |       1100       |          2          |        Y     
  011100  |  0100   |       0001       |          2          |        Y     
  011101  |  1110   |       0100       |          2          |        Y     
  011110  |  1111   |       0010       |          3          |        Y     
  011111  |  1001   |       0111       |          3          |        Y     
  100000  |  1010   |       0111       |          3          |        Y     
  100001  |  0011   |       1101       |          3          |        Y     
  100010  |  0110   |       1101       |          3          |        Y     
  100011  |  1111   |       1000       |          3          |        Y     
  100100  |  1001   |       1100       |          2          |        Y     
  100101  |  0000   |       1010       |          2          |        Y     
  100110  |  0000   |       1011       |          3          |        Y     
  100111  |  0110   |       0001       |          3          |        Y     
  101000  |  1100   |       1001       |          2          |        Y     
  101001  |  1010   |       0000       |          2          |        Y     
  101010  |  1011   |       0000       |          3          |        Y     
  101011  |  0001   |       0110       |          3          |        Y     
  101100  |  0111   |       1010       |          3          |        Y     
  101101  |  1101   |       0011       |          3          |        Y     
  101110  |  1101   |       0110       |          3          |        Y     
  101111  |  1000   |       1111       |          3          |        Y     
  110000  |  1111   |       1000       |          3          |        Y     
  110001  |  1001   |       0010       |          3          |        Y     
  110010  |  0001   |       0100       |          2          |        Y     
  110011  |  0100   |       1110       |          2          |        Y     
  110100  |  0011   |       0101       |          2          |        Y     
  110101  |  0101   |       1100       |          2          |        Y     
  110110  |  1110   |       0010       |          2          |        Y     
  110111  |  1011   |       0111       |          2          |        Y     
  111000  |  0101   |       0011       |          2          |        Y     
  111001  |  1100   |       0101       |          2          |        Y     
  111010  |  0010   |       1110       |          2          |        Y     
  111011  |  0111   |       1011       |          2          |        Y     
  111100  |  1000   |       1111       |          3          |        Y     
  111101  |  0010   |       1001       |          3          |        Y     
  111110  |  0100   |       0001       |          2          |        Y     
  111111  |  1110   |       0100       |          2          |        Y     
